Order ID,Customer Id,OrderDate,Ship Date,State,City,Sales Channel,Category,Sub Category,ProductID,Quantity,Unit Price,Discount %,TaxRate,ShippingCost,Order Total,Notes
ORD2263134,C934974,5/2/2025,5/8/2025,CA,sacramento,Phone,Clothing,hat,P32146,1,$841.84,0,0.065,12.99,909.55,Address corrected
ORD3302915,C682223,1/19/2026,1/25/2026,CO,colorado springs,Phone,Health,Protein,P49880,1,364.29,0.2,0.0825,$12.99,328.47,promo applied
ORD3194095,C484668,24-Nov-25,3-Dec-25,AZ,PHOENIX,IN-STORE,electronics,keyboard,P32860,2,$845.28,0.05,6.50%,4.99,"1,715.41",Address corrected
ORD7604726,C239994,12-Jul-25,16-Jul-25,NM,rio rancho,in-store,GROCERY,COFFEE,P58748,4,582.5,0.15,8.25%,$0.00,"2,143.89",
ORD2703068,C959551,2/24/2026,2/28/2026,tx,houston,online,HEALTH,Protein,P89219,1,419.3,0.15,4.50%,$7.99,380.43,
ORD9202702,C875686,8/26/2025,8/26/2025,nm,rio rancho,In-Store,home,Air Purifier,P68652,1,$547.10USD,0.05,0.0825,7.99,570.61,Address corrected
ORD8021803,C587594,3/21/2025,3/31/2025,OK,tulsa,PHONE,Electronics,Headphones,P97853,2,413.11,0,0.065,$7.99,$887.91USD,
ORD6121649,C842306,5-Aug-25,8/12/2025,UT,salt lake city,in-store,health,thermometer,P85100,4,757.58,0,0.0825,$0.00,"$3,280.32",
ORD2550336,C889242,6/17/2025,6/18/2025,NM,Rio Rancho,Online,grocery,COFFEE,P60176,1,$70.31,0,0.0725,$12.99,$88.40,returned
ORD9429344,C013819,11/11/2025,11/16/2025,NM,Las Cruces,online,Health,Protein,P16606,-1,840.75,0.05,0.045,$4.99,-$829.66,updated record
ORD5818139,C137700,2/12/2025,2/13/2025,CA,Los Angeles,Phone,HEALTH,skincare,P19195,3,$448.88,0,0.045,$4.99USD,"$1,412.23",VIP customer
ORD6087966,C876007,2/26/2025,3/6/2025,CO,Boulder,IN-STORE,clothing,Jeans,P83248,2,115.28,0,0.065,$9.99,$255.54,returned
ORD7559665,C475144,3/2/2025,3/5/2025,CO,,Online,GROCERY,pasta,P45334,3,$256.38,0.1,0.045,$9.99USD,733.37,
ORD9312661,C113403,5/13/2025,5/18/2025,CA,San Diego,Online,HOME,Chair,P62650,5,$299.02,0.2,0.0825,$0.00,"$1,294.76",
ORD7555716,C821952,8/5/2025,8/14/2025,UT,PROVO,IN-STORE,CLOTHING,Shoes,P30710,3,172.44,0,0.045,$7.99USD,$548.59,promo applied
ORD5033733,C294176,3/31/2025,4/1/2025,ut,SALT LAKE CITY,Online,home,VACUUM,P15573,4,$468.83,0.1,0.065,$4.99,"$1,802.48",returned
ORD3222355,C720532,2/4/2026,2/12/2026,NM,Las Cruces,ONLINE,home,BLENDER,P49570,-1,$290.34,0,0.0825,0,-$314.29,Address corrected
ORD4856923,C185863,5/21/2025,5/23/2025,AZ,mesa,In-Store,Electronics,monitor,P72567,2,$150.55,0,0.045,12.99,$327.64,Address corrected
ORD4436099,C003178,2/11/2026,2/16/2026,NM,albuquerque,In-Store,grocery,Pasta,P59213,5,637.92,0.05,0.045,$9.99,3176.47,
ORD4608813,C351649,6/6/2025,6/16/2025,UT,Provo,phone,Electronics,Mouse,P40921,-1,44.44,0.05,0.065,$12.99,-31.97,
ORD2097994,C738810,9/28/2025,10/7/2025,AZ,Mesa,in-store,HOME,Lamp,P25308,1,$396.84,0,0.065,$12.99,435.62,promo applied
ORD2783381,C979133,1/7/2026,1/9/2026,ok,Tulsa,Online,electronics,Mouse,P71042,3,$673.25,0,0.0725,$9.99,$2176.17USD,
ORD6824149,C743242,4/4/2025,4-Apr-25,UT,provo,Phone,Home,CHAIR,P45454,5,9.62,0.15,0.065,$12.99,,VIP customer
ORD4030902,C711015,2/2/2025,2/9/2025,UT,salt lake city,In-Store,Electronics,MONITOR,P81174,3,$311.25,0,8.25%,$12.99,1023.77,Address corrected
